0,-0.0071524
0.001,0.016112
0.002,0.020574
0.003,0.0094196
0.004,0.0068701
0.005,-0.0026907
0.006,-0.0030094
0.007,0.0065514
0.008,0.019299
0.009,0.0075075
0.01,0.0036831
0.011,0.0030458
0.012,0.0046392
0.013,0.0043205
0.014,0.00049621
0.015,-0.038703
0.016,-0.042846
0.017,-0.02245
0.018,-0.0081085
0.019,-0.031373
0.02,-0.043802
0.021,-0.040934
0.022,-0.02978
0.023,-0.048264
0.024,-0.038703
0.025,-0.053682
0.026,-0.084276
0.027,-0.064836
0.028,-0.035197
0.029,-0.089375
0.03,-0.067704
0.031,-0.070254
0.032,-0.080452
0.033,-0.095749
0.034,-0.045396
0.035,-0.061968
0.036,-0.073759
0.037,-0.05655
0.038,-0.05655
0.039,-0.025955
0.04,-0.023087
0.041,-0.0074711
0.042,-0.00014118
0.043,0.014837
0.044,0.0046392
0.045,-0.005559
0.046,0.026948
0.047,0.0483
0.048,0.0027271
0.049,0.028222
0.05,0.04097
0.051,0.053718
0.052,0.042882
0.053,0.0084635
0.054,0.012925
0.055,0.027904
0.056,0.069971
0.057,0.050531
0.058,0.032047
0.059,0.013563
0.06,0.012925
0.061,0.038102
0.062,0.039058
0.063,0.012607
0.064,0.0091009
0.065,0.015793
0.066,-0.006515
0.067,-0.00014118
0.068,0.018662
0.069,0.019618
0.07,0.0097383
0.071,0.0055953
0.072,-0.0039655
0.073,0.0068701
0.074,0.013563
0.075,0.012607
0.076,0.0033644
0.077,0.0078261
0.078,0.012925
0.079,0.0062327
0.08,0.0094196
0.081,-0.010339
0.082,-0.014164
0.083,-0.018307
0.084,0.0094196
0.085,0.010057
0.086,0.0049579
0.087,-0.00045987
0.088,-0.00045987
0.089,0.0065514
0.09,0.0081448
0.091,0.021211
0.092,0.0065514
0.093,0.00049621
0.094,0.0062327
0.095,0.0052766
0.096,0.0062327
0.097,-0.0036468
0.098,-0.014164
0.099,-0.020856
0.1,-0.010658
0.101,-0.0049216
0.102,-0.0026907
0.103,-0.012889
0.104,-0.02245
0.105,-0.016395
0.106,-0.0084272
0.107,-0.0030094
0.108,0.0078261
0.109,-0.025637
0.11,-0.03934
0.111,-0.023724
0.112,-0.012889
0.113,-0.020219
0.114,-0.03711
0.115,-0.049539
0.116,-0.052407
0.117,-0.035516
0.118,-0.032967
0.119,-0.034241
0.12,-0.042527
0.121,-0.053044
0.122,-0.024043
0.123,-0.016395
0.124,-0.0030094
0.125,-0.026911
0.126,-0.037747
0.127,-0.010021
0.128,0.012288
0.129,-0.0010973
0.13,-0.0081085
0.131,-0.017988
0.132,-0.026274
0.133,-0.017988
0.134,0.00049621
0.135,0.0055953
0.136,-0.00014118
0.137,-0.0074711
0.138,-0.00045987
0.139,-0.00077856
0.14,0.0024084
0.141,0.019299
0.142,0.014519
0.143,0.0081448
0.144,0.0071888
0.145,0.026948
0.146,0.034278
0.147,0.014519
0.148,0.0062327
0.149,-0.0049216
0.15,0.0075075
0.151,0.022167
0.152,0.032684
0.153,0.033959
0.154,0.016431
0.155,0.033959
0.156,0.015793
0.157,0.015793
0.158,0.022486
0.159,0.037146
