time,X,Y,Z
1.47,0.365297,1.539422,0.395628
1.48,0.362875,1.537082,0.399102
1.49,0.359154,1.53511,0.401986
1.5,0.35257,1.53153,0.404401
1.51,0.348489,1.529631,0.406546
1.52,0.347422,1.528064,0.410101
1.53,0.342253,1.525076,0.410507
1.54,0.336565,1.521825,0.411828
1.55,0.335365,1.520921,0.414012
1.56,0.333544,1.519706,0.417256
1.57,0.330664,1.517866,0.418149
1.58,0.327962,1.516034,0.418839
1.59,0.325374,1.514345,0.419195
1.6,0.323036,1.512742,0.419353
1.61,0.320804,1.511089,0.419278
1.62,0.318649,1.509428,0.419018
1.63,0.316687,1.507909,0.418531
1.64,0.314973,1.506529,0.417873
1.65,0.313219,1.505207,0.417058
1.66,0.311858,1.504187,0.416103
1.67,0.310482,1.503301,0.41497
1.68,0.309341,1.502473,0.413866
1.69,0.308295,1.501812,0.412537
1.7,0.307536,1.501358,0.41115
1.71,0.306837,1.501033,0.409567
1.72,0.304796,1.499805,0.405567
1.73,0.306414,1.500967,0.406383
1.74,0.304741,1.499708,0.402602
1.75,0.306087,1.501755,0.402571
1.76,0.306082,1.502356,0.40067
1.77,0.306193,1.503105,0.398557
1.78,0.306467,1.504003,0.396187
1.79,0.306802,1.505082,0.393745
1.8,0.307084,1.506295,0.391189
1.81,0.307601,1.507864,0.388464
1.82,0.308096,1.509617,0.385586
1.83,0.308666,1.51161,0.382525
1.84,0.309232,1.513576,0.379488
1.85,0.309808,1.515944,0.376093
1.86,0.310398,1.518397,0.37258
1.87,0.311041,1.521064,0.368763
1.88,0.31158,1.523826,0.364889
1.89,0.312227,1.526975,0.36058
1.9,0.312812,1.530336,0.356016
1.91,0.313436,1.534106,0.351132
1.92,0.313915,1.538248,0.34582
1.93,0.314574,1.542731,0.340317
1.94,0.315156,1.547456,0.334589
1.95,0.315689,1.55264,0.328309
1.96,0.316229,1.557867,0.32189
1.97,0.316628,1.563738,0.315056
1.98,0.317034,1.569825,0.307773
1.99,0.317648,1.576558,0.300138
2,0.317765,1.583933,0.291785
2.01,0.319774,1.591171,0.284611
2.02,0.318704,1.600243,0.273554
2.03,0.318939,1.609312,0.263483
2.04,0.319074,1.618658,0.252869
