Time (Seconds),RToeOut_X,RToeOut_Y,RToeOut_Z
7.51,-0.171175,0.053786,-0.882948
7.52,-0.171122,0.053768,-0.88299
7.53,-0.171075,0.053772,-0.883054
7.54,-0.171302,0.05383,-0.882628
7.55,-0.171271,0.053792,-0.882688
7.56,-0.171249,0.053804,-0.882764
7.57,-0.171219,0.053777,-0.882854
7.58,-0.171198,0.05374,-0.882923
7.59,-0.171201,0.053687,-0.883006
7.6,-0.171192,0.053663,-0.883081
7.61,-0.171205,0.053625,-0.883151
7.62,-0.171193,0.053602,-0.883187
7.63,-0.17122,0.0536,-0.88319
7.64,-0.171224,0.05356,-0.883195
7.65,-0.171251,0.053542,-0.883188
7.66,-0.171262,0.053553,-0.883199
7.67,-0.171269,0.053516,-0.883197
7.68,-0.171263,0.053546,-0.883222
7.69,-0.171242,0.053522,-0.883245
7.7,-0.171222,0.053518,-0.883293
7.71,-0.171176,0.053538,-0.883332
7.72,-0.171161,0.053511,-0.883401
7.73,-0.171112,0.053511,-0.883457
7.74,-0.171091,0.053524,-0.883489
7.75,-0.171068,0.05352,-0.883516
7.76,-0.17104,0.053559,-0.883529
7.77,-0.171023,0.05356,-0.883556
7.78,-0.171024,0.053529,-0.883532
7.79,-0.171032,0.053538,-0.883504
7.8,-0.171051,0.053565,-0.883475
7.81,-0.171071,0.053566,-0.883441
7.82,-0.171085,0.053569,-0.883406
7.83,-0.171091,0.05357,-0.883376
7.84,-0.171085,0.053585,-0.883381
7.85,-0.171088,0.053585,-0.88337
7.86,-0.171075,0.053634,-0.883361
7.87,-0.171067,0.053628,-0.88336
7.88,-0.171083,0.053634,-0.883319
7.89,-0.171098,0.053642,-0.883304
7.9,-0.171098,0.05366,-0.883277
7.91,-0.171102,0.053683,-0.883276
7.92,-0.171098,0.05369,-0.883243
7.93,-0.171096,0.053711,-0.883225
7.94,-0.171094,0.053706,-0.88322
7.95,-0.171098,0.053736,-0.883198
